ORGANIZATION_CODE,template_name,item_SEGMENT1,DESCRIPTION,PRIMARY_UOM_CODE,PURCHASING_ITEM_FLAG,PURCHASING_ENABLED_FLAG,PROCESS_FLAG
SIO,@Product Family,172247,4ever Tikiri Baby Cologne 50ml,ECH,Y,Y,N
SIO,@Product Family,172246,4ever Tikiri Baby Lotion 130ml,ECH,Y,Y,N
SIO,@Product Family,172245,4ever Tikiri Baby Soap 80g,ECH,Y,Y,N
SIO,@Product Family,113401,Baby Cheramy  Oil -125ml,ECH,Y,Y,N
SIO,@Product Family,113319,Baby Cheramy  Shampoo -200ml,ECH,Y,Y,N
SIO,@Product Family,113203,Baby Cheramy  Talc -100g,ECH,Y,Y,N
SIO,@Product Family,113425,Baby Cheramy Basics Cotton Buds - Cylinder 100s,ECH,Y,Y,N
SIO,@Product Family,113434,Baby Cheramy Basics Diapers - L (9s),ECH,Y,Y,N
SIO,@Product Family,113433,Baby Cheramy Basics Diapers - M (10s),ECH,Y,Y,N
SIO,@Product Family,113430,Baby Cheramy Basics Glass Feeding Bottle 120ml,ECH,Y,Y,N
SIO,@Product Family,113429,Baby Cheramy Basics Glass Feeding Bottle 240ml,ECH,Y,Y,N
SIO,@Product Family,115717,Baby Cheramy Basics Teats,ECH,Y,Y,N
SIO,@Product Family,115718,Baby Cheramy Basics X Teats,ECH,Y,Y,N
SIO,@Product Family,172045,Baby Cheramy Bedtime Claming Cologne 100ml,ECH,Y,Y,N
SIO,@Product Family,172044,Baby Cheramy Bedtime Claming Cologne 50ml,ECH,Y,Y,N
SIO,@Product Family,172043,Baby Cheramy Bedtime Claming Lotion 100ml,ECH,Y,Y,N
SIO,@Product Family,172042,Baby Cheramy Bedtime Claming Lotion 50ml,ECH,Y,Y,N
SIO,@Product Family,172041,Baby Cheramy Bedtime Moisturising Soap 75g,ECH,Y,Y,N
SIO,@Product Family,113256,Baby Cheramy Cologne -100ml,ECH,Y,Y,N
SIO,@Product Family,100136,Baby Cheramy Cologne 100ml - Free Stencil,ECH,Y,Y,N
SIO,@Product Family,125242,Baby Cheramy Cologne -100ml (Baby Cheramy Soap 75g Free),ECH,Y,Y,N
SIO,@Product Family,113261,Baby Cheramy Cologne -200ml,ECH,Y,Y,N
SIO,@Product Family,113255,Baby Cheramy Cologne -50ml,ECH,Y,Y,N
SIO,@Product Family,172046,Baby Cheramy Cologne faresh floral 100ml,ECH,Y,Y,N
SIO,@Product Family,115720,Baby Cheramy Cologne Fun Time Angel Fair 100ml,ECH,Y,Y,N
SIO,@Product Family,115719,Baby Cheramy Cologne Fun Time Kitty Katty - 100ml,ECH,Y,Y,N
SIO,@Product Family,115721,Baby Cheramy Cologne Fun Time Lucky Ducky - 100ml,ECH,Y,Y,N
SIO,@Product Family,124623,Baby Cheramy Cologne Fun Time Lucky Ducky - 100ml Free Stencil,ECH,Y,Y,N
SIO,@Product Family,190150,Baby Cheramy Cologne Funtime 100ml - Free Stencil,ECH,Y,Y,N
SIO,@Product Family,171742,Baby Cheramy Cologne Funtime Ciddly Bunny 100ml,ECH,Y,Y,N
SIO,@Product Family,171464,Baby Cheramy Cologne Herbal 50ml,ECH,Y,Y,N
SIO,@Product Family,113258,Baby Cheramy Cologne-Floral 100ml,ECH,Y,Y,N
SIO,@Product Family,113257,Baby Cheramy Cologne-Floral 50ml,ECH,Y,Y,N
SIO,@Product Family,125144,Baby Cheramy Cologne-Floral100ml(Baby Cheramy Soap 75g Free),ECH,Y,Y,N
SIO,@Product Family,113276,Baby Cheramy Cologne-Flowers 200ml,ECH,Y,Y,N
SIO,@Product Family,113357,Baby Cheramy Cream - Herbal 100ml,ECH,Y,Y,N
SIO,@Product Family,113354,Baby Cheramy Cream - Regular 100ml,ECH,Y,Y,N
SIO,@Product Family,113355,Baby Cheramy Cream - Regular 200ml,ECH,Y,Y,N
SIO,@Product Family,113353,Baby Cheramy Cream - Regular 50ml,ECH,Y,Y,N
SIO,@Product Family,113388,Baby Cheramy Cream -400ml,ECH,Y,Y,N
SIO,@Product Family,171740,Baby Cheramy Cream -Floral 100ml,ECH,Y,Y,N
SIO,@Product Family,171741,Baby Cheramy Cream -Floral 200ml,ECH,Y,Y,N
SIO,@Product Family,171739,Baby Cheramy Cream -Floral 50ml,ECH,Y,Y,N
SIO,@Product Family,115700,Baby Cheramy Diaper Singles - L -EA,ECH,Y,Y,N
SIO,@Product Family,115701,Baby Cheramy Diaper Singles - XL -EA,ECH,Y,Y,N
SIO,@Product Family,113443,Baby Cheramy Diapers - 4s - M,ECH,Y,Y,N
SIO,@Product Family,113442,Baby Cheramy Diapers - 4s - S,ECH,Y,Y,N
SIO,@Product Family,113445,Baby Cheramy Diapers 11s - S,ECH,Y,Y,N
SIO,@Product Family,113444,Baby Cheramy Diapers 4s - L,ECH,Y,Y,N
SIO,@Product Family,113446,Baby Cheramy Diapers 8s - XL,ECH,Y,Y,N
SIO,@Product Family,113107,Baby Cheramy Eco Soap Pack -EA (Rs.15.00 Off),ECH,Y,Y,N
SIO,@Product Family,171744,Baby Cheramy Fintime Kitty Katty 50ml,ECH,Y,Y,N
SIO,@Product Family,171743,Baby Cheramy Fintime Lucky Ducky 50ml,ECH,Y,Y,N
SIO,@Product Family,113128,Baby Cheramy Floral Milk Soap - Economy Pack 5x75g,ECH,Y,Y,N
SIO,@Product Family,113120,Baby Cheramy Floral Milk Soap-75g,ECH,Y,Y,N
SIO,@Product Family,172047,Baby Cheramy Fresh Floral Cologne 50ml,ECH,Y,Y,N
SIO,@Product Family,171746,Baby Cheramy Funtime Angel Fairy 50ml,ECH,Y,Y,N
SIO,@Product Family,171745,Baby Cheramy Funtime Ciddly Bunny 50ml,ECH,Y,Y,N
SIO,@Product Family,113441,Baby Cheramy Gift Pack -EA,ECH,Y,Y,N
SIO,@Product Family,171334,Baby Cheramy Herbal Cologne 100ml,ECH,Y,Y,N
SIO,@Product Family,113372,Baby Cheramy Herbal Cream - 200ml,ECH,Y,Y,N
SIO,@Product Family,113409,Baby Cheramy Herbal Oil - 100ml,ECH,Y,Y,N
SIO,@Product Family,113105,Baby Cheramy Herbal Soap - 100g,ECH,Y,Y,N
SIO,@Product Family,113374,Baby Cheramy Lotion - Moisturising Milk 100ml,ECH,Y,Y,N
SIO,@Product Family,113373,Baby Cheramy Lotion - Moisturising Milk 50ml,ECH,Y,Y,N
SIO,@Product Family,171748,Baby Cheramy Lotion Regular 100ml,ECH,Y,Y,N
SIO,@Product Family,171747,Baby Cheramy Lotion Regular 50ml,ECH,Y,Y,N
SIO,@Product Family,171738,Baby Cheramy Moisturising Soap 100g,ECH,Y,Y,N
SIO,@Product Family,113428,Baby Cheramy Nappy  Wash Powder -400g,ECH,Y,Y,N
SIO,@Product Family,115722,Baby Cheramy Nappy Rash Cream -100ml,ECH,Y,Y,N
SIO,@Product Family,113439,Baby Cheramy Nappy Wash Powder -1kg,ECH,Y,Y,N
SIO,@Product Family,113210,Baby Cheramy Prickly Heat Talc -100g,ECH,Y,Y,N
SIO,@Product Family,113302,Baby Cheramy Shampoo -100ml,ECH,Y,Y,N
SIO,@Product Family,171462,Baby Cheramy Soap - Floral Moisturising 75g,ECH,Y,Y,N
SIO,@Product Family,171463,Baby Cheramy Soap - FloralMoisturising (Eco Pack) (75gx5) (Rs.15.00 Off),ECH,Y,Y,N
SIO,@Product Family,113106,Baby Cheramy Soap -75g,ECH,Y,Y,N
SIO,@Product Family,113213,Baby Cheramy Talc - Floral 100g,ECH,Y,Y,N
SIO,@Product Family,113212,Baby Cheramy Talc - Floral 200g,ECH,Y,Y,N
SIO,@Product Family,113211,Baby Cheramy Talc - Regular -400g,ECH,Y,Y,N
SIO,@Product Family,113204,Baby Cheramy Talc -200g,ECH,Y,Y,N
SIO,@Product Family,172748,Chandi Panda Herbal Soap - 90g,ECH,Y,Y,N
SIO,@Product Family,114414,Clogard Chooty Tooth Brush,ECH,Y,Y,N
SIO,@Product Family,172526,Cutee Baby Diapers - Medium,ECH,Y,Y,N
