SEGMENT1,VENDOR_NAME,AUTO_TAX_CALC_FLAG,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE,TERMS_NAME
02710,Co-Operative Wholesale Establishment(Sugar),N,Sri Lanka,"CWE Secretariat Building,No 27,","Vauxhall street,Colombo 02",,,,,PROVISION,,3 Net
03233,A G P Traders,N,Sri Lanka,"No:45,Kirindivita Rd,",Udugampala.,,E.G.Piyasena,066 2283041,,PROVISION,,14 Net
0011,All Island Small & Medium,N,Sri Lanka,Scale grain cooperative society,,,,,,PROVISION,,14 Net
03354,CA suppliers,N,Sri Lanka,"No:54/12,","Galle Road,",amaoratuwa,,076-9971837/077-5471837,,PROVISION,,14 Net
03365,Euro lanka rice Mill,N,Sri Lanka,"No:17/1/2,Mile post,","CP Pura,Katukeliyawa Road,",Minneriya,,0272247159/0763600499,,PROVISION,,14 Net
00142,Halick Rice Mills,N,Sri Lanka,"Circuler Road,",Polonnaruwa.,,,277402101,,PROVISION,,14 Net
00187,Jayawickrama Rice (Pvt) Ltd,N,Sri Lanka,"No:18,Laksha Uyana",Polonnaruwa,,,,,PROVISION,,14 Net
03331,Mariam Food Products,N,Sri Lanka,"No:49/1,2nd Chapal Lane,","Wellawatta,",Colombo 06,Mohomad Rifkhan,077 7171808,,PROVISION,,14 Net
00328,P. M Mohamedali,Y,Sri Lanka,"No187,Prince street,Colombo11",,,,,,PROVISION,,14 Net
00914,Richwin Foods (Pvt) Ltd,N,Sri Lanka,"No. 54/A, Thaladuwa Road,",Negombo.,,,,,PROVISION,,14 Net
00684,Sri Lanka Cooperative Marketin,N,Sri Lanka,"Celinco Center, NO.02,","R.A.De Mel Mawatha,",Colombo 04,,112913119,,PROVISION,,14 Net
00358,Ranjitha Traders,N,Sri Lanka,"No:121,5th Cross Street",Coombo 11,-,,011-2422830/011-2422840,,PROVISION,,20 Net
03052,Jinasena Management Services,N,Sri Lanka,"No: 231, Galle Road",Colombo 04,,,0777 486938,,PROVISION,,30 Net
03221,Raw Gates Lanka (Pvt) Ltd,N,Sri Lanka,"No:728,Crooswatta,Ekala,",Ja Ela,,Ramsan,077 7779771,,PROVISION,,45 Net
03233,A.G.P.Traders,N,Sri Lanka,"No;45, Kirindhivita Road,",Udugampala.,,,0776250949,,PROVISION,,14 Net
00919,A.M.Halideen,N,Sri Lanka,"263,","Thiththawalgala,",Nikadalupoth.,,724300424,,PROVISION,,14 Net
03250,Agri Essentials,N,Sri Lanka,"No.14, Mannar Road",Puttalam,,,0713232269,,PROVISION,,14 Net
02616,Aluthgedara Lasitha Eranda Ranasinghe115-2-001-0-0022623,N,Sri Lanka,"N.R Traders,178,","Dabulla road,",Galewela,,,,PROVISION,,14 Net
02407,Anantha Imports (Pvt) Ltd,N,Sri Lanka,"212/49,9/1,Bodhirajah Mw",Gas Works Street,Colombo 11,,,,PROVISION,,14 Net
02755,Arsath Rice Processing (Pvt) Limited,N,Sri Lanka,"National Paper Company Road,","Kawattamunai,Ottamawadi",,,0712865831,,PROVISION,,14 Net
02744,Asian Food Importers (Pvt) Ltd,N,Sri Lanka,"No:3,1/1,","New Shopping Complex,","Ktcheriya Road,Kurunegala",,0773281287,,PROVISION,,14 Net
03332,Asian Traders,N,Sri Lanka,"211,Prince St",Colombo 11,,,077-3943302,,PROVISION,,14 Net
00718,Asmath Rice Mill,N,Sri Lanka,"Jayapura, Sungawil",Polonnaruwa,,,272223839,,PROVISION,,14 Net
00738,B.M.S. Rice Mill,N,Sri Lanka,"157,Weligatta",Hambantota,,Mr.B.M.Sudath,077 1990131,,PROVISION,,14 Net
00039,Barik Enterprises (Pvt.) Ltd.,N,Sri Lanka,"108/04,Ettampolawatte Road",Hendala,Wattala,M.B.Basith,112932699,,PROVISION,,14 Net
00802,CIC Agri Produce Export (Pvt)Ltd,N,Sri Lanka,"No. 205,","D. R. Wijewardena Mawatha,",Colombo - 10.,,112688200,,PROVISION,,14 Net
00678,City Transport  Service,N,Sri Lanka,"No:D 1/1, Central Road,",Colombo 12,,,0112-441728,,PROVISION,,14 Net
00945,Colombo Comodities,N,Sri Lanka,"No:71,Fourth Cross street,",Colombo 11,,,011-2421430/011-2421432,,PROVISION,,14 Net
02044,Commercial Export Syndicate,N,Sri Lanka,"No:2J, Dam Street",Colombo 12,,,011-5288871,,PROVISION,,14 Net
02445,Commodities Importers,N,Sri Lanka,,,,Mr.M.Akram Farook,0114720388/0771552299,,PROVISION,,14 Net
02688,Common Wealth Enterprises(Pvt)Ltd,N,Sri Lanka,"H18,Dharmapala Mw,",Bandarawela,,,0773179565,,PROVISION,,14 Net
00555,Cooperative Wholesale Establishment(Sprats),N,Sri Lanka,"CWE Secretariat Building,No 27,","Vauxhall street,Colombo 02",,,,,PROVISION,,14 Net
02715,Co-Operative Wholesale Establishment(Canned fish),N,Sri Lanka,"CWE Secretariat Building,No 27,","Vauxhall street,Colombo 02",,,,,PROVISION,,14 Net
02714,Co-Operative Wholesale Establishment(Rice),N,Sri Lanka,"CWE Secretariat Building,No 27,","Vauxhall street,Colombo 02",,,,,PROVISION,,14 Net
00076,Crown Trading Company,N,Sri Lanka,"No. 110,","Dam Street,",Colombo-12.,,115377486,,PROVISION,,14 Net
00830,D. G. Indrasena,N,Sri Lanka,"Dhambuyaya, Galewela.",,,,,,PROVISION,,14 Net
02516,D.M.D.K Holdings (Pvt) Ltd,N,Sri Lanka,"No:40,1st Lane,Gothami Rd,Borela",,,,0777730065,,PROVISION,,14 Net
03110,Deli Lanka Holdings (Pvt) Ltd,N,Sri Lanka,No:11.,"Saunders Place ,",Colombo 12,,011-3020379,,PROVISION,,14 Net
00735,Devi Trading Company,N,Sri Lanka,"No:125, Bankshall Street,",Colombo 11,,,112320314,,PROVISION,,14 Net
02908,E.M.C.Traders,N,Sri Lanka,"No:43,Vishaka mawatha",Bandarawela,,,0770693978,,PROVISION,,14 Net
03147,EIT Global Lanka (Pvt) Ltd,N,Sri Lanka,PG3,Maligawatta Housing Scheme,Colomblo 10,,0766709157,,PROVISION,,14 Net
00691,Euro Rice Mill,N,Sri Lanka,"No:17/1/2,Mile post,","CP Pura,Katukeliyawa Road,",Minneriya,,,,PROVISION,,14 Net
02444,Fancy Traders,N,Sri Lanka,"No:367,3rd floor,","Dam Street,",Colombo 12,,,,PROVISION,,14 Net
00635,Falcon Food Product,N,Sri Lanka,"No:236,Kurikotuwa,",Veyangoda,,,077-1860790/033-2294283,,PROVISION,,14 Net
00975,Galaxy Pulses Private Ltd,N,Sri Lanka,No:46,"6th Lane,Colombo 13",,,011-2438277,,PROVISION,,14 Net
02970,Ganesan & Compnay,N,Sri Lanka,"No:166,",4th Cross Street,COlombo 11,,0112458447,,PROVISION,,14 Net
