CONCATENATED_SEGMENTS,CATEGORY_ID
GROCERY.FOOD ITEMS.BABY FOOD.RUSK & NOURISHMENTS,2123
GROCERY.FOOD ITEMS.BAKERY.BREAD & BUNS,2124
GROCERY.FOOD ITEMS.CANNED FOOD.CANNED FOOD,2125
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.BISCUITS,2126
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.CONFECTIONARIES,2127
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.DESERT INGREDIENTS,2128
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.SAVORIES & SNACKS,2129
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.CHOCOLATE,2130
GROCERY.FOOD ITEMS.CONFECTIONARY & BISCUITS.SWEET MEATS,2131
GROCERY.FOOD ITEMS.SPREADS.BUTTER & MARGARINE,2132
GROCERY.FOOD ITEMS.SPREADS.JAM,2133
GROCERY.FOOD ITEMS.SPREADS.MARMITE & CREAMS,2134
GROCERY.MILK & BEVERAGES.BEVERAGES.TEA & COFFEE,2135
GROCERY.MILK & BEVERAGES.BEVERAGES.JUICES & CORDIAL,2136
GROCERY.MILK & BEVERAGES.BEVERAGES.SOFT DRINKS,2137
GROCERY.MILK & BEVERAGES.BEVERAGES.WATER,2138
GROCERY.MILK & BEVERAGES.MILK.MILK POWDER/NON FAT/MALT,2139
GROCERY.CULINERY.SPICES.SPICES & INGREDIENTS,2140
GROCERY.CULINERY.SPICES.PAPADAM,2141
GROCERY.CULINERY.COOKING ENHANCERS.COOKING OIL,2142
GROCERY.CULINERY.COOKING ENHANCERS.MEAL ADDITIVES,2187
GROCERY.CULINERY.DRY FOOD.FLOURS,2143
GROCERY.CULINERY.DRY FOOD.PULSES (GRAINS),2144
GROCERY.CULINERY.DRY FOOD.DRY FISH,2145
GROCERY.CULINERY.DRY FOOD.MALDIVES FISH,2146
GROCERY.CULINERY.DRY FOOD.INSTANT SOUPS,2147
GROCERY.CULINERY.DRY FOOD.NOODLES,2148
GROCERY.CULINERY.DRY FOOD.SOYA MEAT,2149
"GROCERY.CULINERY.DRY FOOD.PASTA, SPAGHETTI & MACARONI",2150
GROCERY.COLD CHAIN.FROZEN FOOD.FROZEN MEAT,2151
GROCERY.COLD CHAIN.FROZEN FOOD.FROZEN FISH,2152
"GROCERY.COLD CHAIN.FROZEN FOOD.SAUSAGES, MEAT BALLS & SLICES",2188
GROCERY.COLD CHAIN.DAIRY.CHEESE,2153
GROCERY.COLD CHAIN.DAIRY.MILK (LIQUID),2154
GROCERY.COLD CHAIN.DAIRY.YOGHURT & READY TO EAT (RTE),2155
GROCERY.COLD CHAIN.DAIRY.CURD,2156
GROCERY.COLD CHAIN.DAIRY.ICE CREAM,2157
GROCERY.COLD CHAIN.DAIRY.READY TO DRINK (RTD),2189
GROCERY.PERSONAL CARE.BABY CARE.BABY ACCESSORIES,2158
GROCERY.PERSONAL CARE.BABY CARE.BABY SKIN CARE,2159
GROCERY.PERSONAL CARE.BABY CARE.BABY SKIN CLEANSING,2160
GROCERY.PERSONAL CARE.BABY CARE.BABY COLOGNE,2161
GROCERY.PERSONAL CARE.BEAUTY.DEO,2190
GROCERY.PERSONAL CARE.BEAUTY.HAIR CARE,2191
GROCERY.PERSONAL CARE.BEAUTY.SKIN CARE & RAZORS,2162
GROCERY.PERSONAL CARE.BEAUTY.SKIN CLEANSING,2163
GROCERY.PERSONAL CARE.HEALTH.MEDICINAL,2164
GROCERY.PERSONAL CARE.HEALTH.SANITARY,2165
GROCERY.PERSONAL CARE.HEALTH.ORAL CARE,2192
GROCERY.HOUSE HOLD.HOME CARE.CLEANING PRODUCTS,2166
GROCERY.HOUSE HOLD.HOME CARE.DISINFECTANTS,2167
GROCERY.HOUSE HOLD.HOME CARE.LAUNDRY & DETERGENTS,2168
GROCERY.HOUSE HOLD.HOME CARE.DISH WASH,2169
GROCERY.HOUSE HOLD.HOME CARE.DOMESTIC ITEMS,2170
GROCERY.GENERAL MERCHANDIZING.PAPER PRODUCTS.SERVIETTES & TISSUES,2171
GROCERY.GENERAL MERCHANDIZING.PAPER PRODUCTS.LUNCH SHEET & OIL PAPERS,2172
GROCERY.GENERAL MERCHANDIZING.PAPER PRODUCTS.BAGS,2173
GROCERY.GENERAL MERCHANDIZING.ELECTRICAL.BULBS,2174
GROCERY.GENERAL MERCHANDIZING.ELECTRICAL.BATTERIES,2175
GROCERY.GENERAL MERCHANDIZING.FRAGRANCE.AIR FRESHNERS,2208
GROCERY.GENERAL MERCHANDIZING.FRAGRANCE.INCENSE,2177
GROCERY.GENERAL MERCHANDIZING.ILLUMINATIONS.CANDLES,2178
GROCERY.GENERAL MERCHANDIZING.ILLUMINATIONS.MATCH BOXES,2179
GROCERY.GENERAL MERCHANDIZING.POLISHES & SHOE CARE.FLOOR POLISH,2180
GROCERY.GENERAL MERCHANDIZING.POLISHES & SHOE CARE.SHOE CARE,2181
GROCERY.GENERAL MERCHANDIZING.STATIONARY.STATIONARY,2182
GROCERY.GENERAL MERCHANDIZING.PET CARE.PET CARE,2195
GROCERY.GENERAL MERCHANDIZING.CAR CARE.CAR CARE,2183
GROCERY.GENERAL MERCHANDIZING.PEST & INSECT CONTROL.PEST & INSECT CONTROL,2184
GROCERY.GENERAL MERCHANDIZING.OTHER GM.OTHER GM,2185
GROCERY.VEGETABLES & FRUITS.VEGETABLES & FRUITS.VEGETABLES,2207
GROCERY.VEGITABLES & FRUITS.VEGITABLE & FRUITS.FRUITS,2193
GROCERY.VEGITABLES & FRUITS.VEGITABLE & FRUITS.COCONUT,2194
PROVISIONS.RICE.UNSPECIFIED.UNSPECIFIED,2196
PROVISIONS.PULSES.UNSPECIFIED.UNSPECIFIED,2197
PROVISIONS.SUGAR.UNSPECIFIED.UNSPECIFIED,2198
PROVISIONS.PERISHABLES.UNSPECIFIED.UNSPECIFIED,2199
PROVISIONS.DRY FOOD.UNSPECIFIED.UNSPECIFIED,2206
PROVISIONS.CANNED FOOD.UNSPECIFIED.UNSPECIFIED,2205
PROVISIONS.PACKETED FOOD.UNSPECIFIED.UNSPECIFIED,2200
LIQUOR & TOBACCO.HARD LIQUOR.UNSPECIFIED.UNSPECIFIED,2201
LIQUOR & TOBACCO.BEER.UNSPECIFIED.UNSPECIFIED,2202
LIQUOR & TOBACCO.WINES.UNSPECIFIED.UNSPECIFIED,2203
LIQUOR & TOBACCO.CIGARETTES.UNSPECIFIED.UNSPECIFIED,2204
