SEGMENT1,VENDOR_NAME,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,PAY_GROUP_LOOKUP_CODE,TERMS_NAME
1,Win Win Advertising,Sri Lanka,"40A,Galpothta Junction, ","Makola Rd,",Kiribathgoda,Prasad Bandara,077 0272853,,FIXED ASSETS,Immediate
2,Sun Super Enterprises,Sri Lanka,"262/A/2/2,","Hokandara Rd,",Thalawathugoda,K.Vipuladasa,011 2796607 / 077 2334284 / 70 3334284,011 2796607,FIXED ASSETS,Immediate
3,Ewis Peripherals (Pvt) Ltd,Sri Lanka,"142,Yathama Building,","Galle Rd,",Colombo-03,Amila Atapattu,011 7496000 / 077 2001562,011 2380580,FIXED ASSETS,Immediate
4,Nandana Enterprises,Sri Lanka,No: 232 Horape,,Ragama,,071-4184813,,FIXED ASSETS,Immediate
5,Alpha Industries(Pvt)Ltd,Sri Lanka,,,,,011-2300341,,FIXED ASSETS,Immediate
6,C.W.E Construction & Engineering (pvt) limited,Sri Lanka,"No 27, Vauxhall Street,",Colombo 02,,,,,FIXED ASSETS,Immediate
7,D.R. Industries (Pvt) Ltd.,Sri Lanka,"No:746, Galle Road, ",,Colombo-04,,,,FIXED ASSETS,Immediate
8,Softlogic Information Technolo,Sri Lanka,,,,,,,FIXED ASSETS,Immediate
9,SRI LANKA TELECOM,Sri Lanka,,,,,0112699625,,FIXED ASSETS,Immediate
10,ARPICO INTERIORS (PVT) LTD,Sri Lanka,"No:310, Hgh Level Road,",Nawinna,Maharagama,,011-2699625,011-2687172,FIXED ASSETS,Immediate
11,Tudawe Engineering Services(Pvt)Ltd.,Sri Lanka,"505/2,",Elvitigala Mw,Colombo-05,,0115341886,,FIXED ASSETS,Immediate
12,Bianco Rosso (Pvt) Ltd,Sri Lanka,"No.49/1, Fife Road",Colombo 05,,,0112304380,,FIXED ASSETS,Immediate
13,Business Machines Company (Pvt) Ltd,Sri Lanka,"P.O.Box 466, No.1,","Lake Crescent,",Colombo 02,,011-7765600,,FIXED ASSETS,Immediate
14,Finco Technologies (Pvt) Ltd,Sri Lanka,"No 16,5th Lane,","Galle Road ,",Colombo 03,,0714470086,,FIXED ASSETS,Immediate
15,Abesooriya Engineering,Sri Lanka,Indipokunagoda Road,Tanagalle,,,0115772222-4,,FIXED ASSETS,Immediate
16,Laugfs International (Pvt) Ltd,Sri Lanka,"No.224/3, ",Elvitigala Mawatha,Colombo 08,,,,FIXED ASSETS,Immediate
17,hSenid Business Solutions(Pvt) Ltd,Sri Lanka,"85 1/1,","ward Place,",Colombo 07,,011 5577997,,FIXED ASSETS,Immediate
18,SALA ENTERPRISES,Sri Lanka,"No. 81, ","Nugegoda Road,",Papiliyana,,0112808514,,FIXED ASSETS,Immediate
19,Elcardo Industries (Pvt) Ltd,Sri Lanka,"No.42,","Narahenpita Road,",Nawala,,0112229556,,FIXED ASSETS,Immediate
20,Rovin Ads Creative Services(Pvt) Ltd,Sri Lanka,"56/A,"," Colombo road,",Kadana,,0112081343,,FIXED ASSETS,Immediate
21,RCS2 Technologies(pvt)Ltd,Sri Lanka,"No 02, Harmers Avenue,","Wellawatte,",Colombo 06,,0112431013,,FIXED ASSETS,Immediate
22,A.C.Paul & Co. Ltd,Sri Lanka,"324-326,",Sri Sangaraja Mw,Colombo 10,,011-2391505,,FIXED ASSETS,Immediate
23,Hara Traders,Sri Lanka,"242,244 ",2nd Cross Street,Colombo 11,,011-2368494,,FIXED ASSETS,Immediate
24,Universal Interiors (pvt) Ltd,Sri Lanka,"505/2,Elvitigala Mw",Po Box 26,Colombo 05,,,,FIXED ASSETS,Immediate
25,Alwis Engineering,Sri Lanka,"No:525B ,Old Kottawa Road, ","Udahamulla, ",Nugegoda,,,,FIXED ASSETS,Immediate
26,Central Electricals,Sri Lanka,-,-,-,,0711913709 / 0771176125,,FIXED ASSETS,Immediate
27,Nethmi Enterprises.,Sri Lanka,No: athugirya Road,Malapalla,Pannipitiya,Kamal,077-1176125,,FIXED ASSETS,Immediate
28,R.N.S. Construction & aliminium Fabricators,Sri Lanka,No:38,Bamunumulla,Bandaragama,Wasantha perera,385681324,,FIXED ASSETS,Immediate
29,SRI LANKA STATE TRADING,Sri Lanka,"""E-PIYASA' 525, ",UNION PLACE,COLOMBO 2,,0714331143,,FIXED ASSETS,Immediate
30,Retail Information Technologie,Sri Lanka,"491,Galle Road","Galle Rd,",Colombo 03,,112565265,,FIXED ASSETS,Immediate
31,Abans PLC,Sri Lanka,"498,","Galle Rd,",Colombo 03,,5555970,,FIXED ASSETS,Immediate
32,perfect business solution,Sri Lanka,"63/2/1, ","park sreet, ",colombo 2,,0115235011,,FIXED ASSETS,Immediate
33,Softwatch Infosys Pvt Ltd,Sri Lanka,"8/2,Rheinland Place,",Galle Road,,,0115566222,,FIXED ASSETS,Immediate
34,LAUGFS International Pvt Ltd,Sri Lanka,"No,14,",R.A.De Mel Mw,Colombo 04,,"0112875321/4,28755344/5",,FIXED ASSETS,Immediate
35,Ceylon Weighing Machines Ltd,Sri Lanka,"No.40,","Maligawa Rd,",Etullkotte,,011 2564371-5 / 0773223866,,FIXED ASSETS,Immediate
37,EWIS Solutions (Pvt)Ltd,Sri Lanka,P.O Box 325,Methodist Central Building,"252,Galle Rd",,0112580773,,FIXED ASSETS,Immediate
38,Smart Track (Pvt) Ltd,Sri Lanka,"33/1, ",Thimbirigasyaya Place,Colombo 05,Y.L Rupasinghe,077 7982640,,FIXED ASSETS,Immediate
39,Y.L.R Construction,Sri Lanka,"350/64,","Heenatiyana,",Minuwangoda,Nalaka Ranasinghe,011 7520520 / 077 7349641,011 2867930,FIXED ASSETS,Immediate
40,E-W Information Systems Limited,Sri Lanka,"441/7,2nd ane,","Cotta Rd,",Rajagiriya,Jesintha Merry,011 2141197 / 071 4527113 / 071 4113311,011 2141198,FIXED ASSETS,Immediate
41,Soala Commercial Equipment (Pvt) Ltd,Sri Lanka,"361,Jaya Mw,","Dehigamuwa,",Ranala,D.S. Gamage,077 7872508,011 2619013,FIXED ASSETS,Immediate
42,Cool&Cool Technologies,Sri Lanka,"6,Medagodawatta,","Thumbovila,",Piliyandala,P.Dileka De Silva,011 2564371-5 / 0773223866,011 2564371,FIXED ASSETS,Immediate
43,Sign Tech Advertising Services (Pvt) Ltd,Sri Lanka,"399,",Galle Road,colombo 3,J.A Manjula Pradeep,077 9013787,,FIXED ASSETS,Immediate
44,J.A.M Pradeep,Sri Lanka,"64C,","Gomaragoda,",Payagala,D.T.C Pathirage,077 9514894,,FIXED ASSETS,Immediate
45,M.P Suppliers,Sri Lanka,"21,Gamunupura, ","Kothalawala,",Kaduwela,W.A.S.Y Wijesinghe,011 5235011 / 011 2577702 / 076 5501813,011 2301975,FIXED ASSETS,Immediate
46,Softwatch Infosys (Pvt) Ltd,Sri Lanka,"8/2,",Rheinland Place,Colombo 03,Pradeep Disanayake,011 2889770 / 076 8242450,011 2889727,FIXED ASSETS,Immediate
47,Datacore Lanka (Pvt) Ltd,Sri Lanka,"30,","Silva Lane, ",Rajagiriya,Gayani Gunasinghe,077 4898352 / 011 2663282 / 011 2663284,011 2663325,FIXED ASSETS,Immediate
48,Brown and Company PLC,Sri Lanka,"34,Sir Mohomed Macan Markar Mw,",,colombo 3,Shiran Dantanarayana,011 2081343 / 070 2737591,011 2081347,FIXED ASSETS,Immediate
49,RCS2 Technologies (Pvt) Ltd,Sri Lanka,"2,Harmers Avenue, ","Wellawatta, ",colombo 6,Widharshana Pathirana,011 2077007 / 071 3020862,,FIXED ASSETS,Immediate
50,Grip Promotional Services,Sri Lanka,"212,Mulleriyawa,","Udumulla, ",Angoda,N.P.H.K.S Kumara,011 2560501 / 011 2560378 / 077 1005994,011 2560377,FIXED ASSETS,Immediate
51,IMRO Business Equipment (Pvt) Ltd,Sri Lanka,"437/3/1, ","Pannipitiya,",Arangala,Shriyakanthi Serasinghe,011 2912270 / 0112915167 / 077 7298691,011 2915927,FIXED ASSETS,Immediate
52,Ravindra KRS Advertising Services (Pvt) Ltd,Sri Lanka,"40, Biyagama Road, ","Pethiyagoda, ",Kelaniya,,,,FIXED ASSETS,Immediate
