SEGMENT1,VENDOR_NAME,AUTO_TAX_CALC_FLAG,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,TERMS_NAME,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE
2855,Asiri Agro Foods (Pvt) Ltd,N,Sri Lanka,"Pahalawela,Ukuwela",,,,,,15 Net,GROCERY,
9,Akalanka Milk Distributors,,Sri Lanka,,,,,,,30 Net,GROCERY,
82,Dartlanka Trading Company,,Sri Lanka,"No.389,","Galle Road,",Rathmalana.,,773896318,,30 Net,GROCERY,
972,Delmore  Lanka   Marketing,N,Sri Lanka,"197,Keyzer   Street,",Colombo-11,,,,,30 Net,GROCERY,
95,Dil Foods (Pvt) Ltd,N,Sri Lanka,"No.262/B,","Himbutana,",Mulleriyawa New Town,,722912804,,30 Net,GROCERY,
3166,Karunarathne Products,N,Sri Lanka,"No:88/1,Madapatha",Piliyandala,,,0775314604/0112618541,,30 Net,GROCERY,
3122,Oshee Foods (Pvt) Ltd,N,Sri Lanka,"No:516,465/1,Old Galle Road,","Horethuduwa,",Beliatta,,077-2331244,,30 Net,GROCERY,
747,Rajarata Farm,,Sri Lanka,"""SAMPATHA"" Beruwewa,",Ilukhena,,,,,30 Net,GROCERY,
789,CIC Agri Businesses (Pvt) Ltd,,Sri Lanka,"No:205, D. R. Wijewardena Mw,",Colombo 10.,,,,,45 Net,GROCERY,
3102,Maliban Dairy & Agri Product ,N,Sri Lanka,"No:389,Galle Road,Ratmalana",Rathmalana.,,,,,45 Net,GROCERY,
756,Vinodya Products,,Sri Lanka,"No 162/B, Temple Road,","Yogiyana, Dhankotuwa.",,,,,45 Net,GROCERY,
2064,Induwari Enterprises,,Sri Lanka,"No:192/7,","7th Lane, Asiriuyana",Mattegoda,,,,60 Net,GROCERY,
778,Coconut Cultivation Board,N,Sri Lanka,"No. 428/9,","Denzil Kobbekaduwa Mawatha,",Battaramulla.,,,,90 Net,GROCERY,
737,Dreamron Lanka (Pvt) Ltd,y,Sri Lanka,"No:112, Sunethra Devi Road,","Kohuwala, Nugegoda,",,,,,90 Net,GROCERY,
523,Food Link,,Sri Lanka,"No.50 H 3,","Kelanigannga Mills,",Colombo 15.,,112537360,,90 Net,GROCERY,
303,Nuwara-Eliya & Maskeliya Tea,,Sri Lanka,"No.311/E 4,Sadasarana Place,","Kimbullapitiya Road,","Akkarapanaha, Negambo.",Mr.Leon,076-7230330/0312220254,,90 Net,GROCERY,
548,Sunrich Confectionery (Pvt) Lt,,Sri Lanka,"Horana Export Processing Zone,","Poruwadanda,",Horana.,,342258105,,90 Net,GROCERY,
959,Tropical Foods,N,Sri Lanka,-,-,-,,,,90 Net,GROCERY,
124,Fonterra Brands Lanka (Pvt.)Ltd,Y,Sri Lanka,"No.100,","Delgoda Road,",Biyagama.,Mr.Wickramawardana,077-7356508,,14 Net,GROCERY,
3104,St.Anthony's Enterprises(suposha),N,Sri Lanka,"No. 47/7, Theresa Mawatha,","Kelaniya, Ja-Ela",,Mr.Hasitha Mendis,077-5879232,,21 Net,GROCERY,
712,A.C. Enterprices,N,Sri Lanka,,,,,,,30 Net,GROCERY,
2997,Arogya Farm (Pvt) Ltd,N,Sri Lanka,"No:18,Park Road,",Bangalwatta,"Mabola,Wattala",Mr.Priyatha,076-6906888/0112932832,,30 Net,GROCERY,
518,Ceylon Cold Stores,Y,Sri Lanka,"No.1,","Justice Akbar Mawatha,",Colombo 02,Mr.Prabath,077-3052567/0773052599,,30 Net,GROCERY,
3238,CIC Poultry Farms Limited,Y,Sri Lanka,"No.252, Kurunduwatte Road",Ekala,,Mr.Pawanka,011-2232776,,30 Net,GROCERY,
2683,Cooperative Wholesale Establishment(Tea),N,Sri Lanka,"CWE Secretariat Building,No 27,","Vauxhall street,Colombo 02",,Mrs.Kalpana,077-3179565,,30 Net,GROCERY,
