SEGMENT1,VENDOR_NAME,COUNTRY,ADDRESS_LINE1,ADDRESS_LINE2,ADDRESS_LINE3,FIRST_NAME,PHONE,FAX,PAY_GROUP_LOOKUP_CODE,PAYMENT_TYPE,TERMS_NAME
95,Faizal Electronics,Sri Lanka,"52/C(280),Pohorawatte Rd,","Wanduramulla,",Panadura,,,,ENGINEERING,CHECK,21 Net
109,Thomson electrical engineering,Sri Lanka,"125/2, A",Gehan Rd,Talangama,,011-4882954,,ENGINEERING,CHECK,21 Net
140,Air Cool Engineers,Sri Lanka,No 10,New ferry lane,Colombo 2,,011-3301887,,ENGINEERING,CHECK,21 Net
172,RCS2 Technologies(pvt)Ltd,Sri Lanka,"Wellawatte,",Colombo 06,,,0112081343,,ENGINEERING,CHECK,21 Net
84,Office Nework (Pvt.) Ltd.,Sri Lanka,"124,Nawala Rd",",Narahenpita",",Col 5",,112369647 / 0112369625,,ENGINEERING,CHECK,30 Net
85,Rainbow Stationers,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
86,C.W.Mackie Plc,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
87,Office Network (Pvt) Ltd.,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
88,Pronto Lanka (Pvt) Ltd.,Sri Lanka,"160/16,",Kirimandala mw,Colombo 05,,0112369001/04,,ENGINEERING,CHECK,30 Net
89,New Akmeewana Iron Works,Sri Lanka,-,-,-,,778769516,,ENGINEERING,CHECK,30 Net
90,Alwis Engineering,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
91,American Premium Water System,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
92,Central Electricals,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
93,Crown Support Services,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
94,E.T. Lab Manufacturing (Pvt) L,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
96,Fakhri Trading Company.,Sri Lanka,"252,","Dam St,",Colombo 12,,112320644,,ENGINEERING,CHECK,30 Net
97,GESTETNER OF CEYLON PLC,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
98,Nethmi Enterprises.,Sri Lanka,"212/1,Athurugiriya Rd","Malapalla,",Pannipitiya,,0711913709 / 0771176125,,ENGINEERING,CHECK,30 Net
99,Rivira Media Corparation,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
100,R.N.S. Construction & aliminium Fabricators,Sri Lanka,"No.38,",Bamunumull,Bandaragama,,0779163454,,ENGINEERING,CHECK,30 Net
101,Rupa Engineers & Builders,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
102,Sign-Tech Advertising Services,Sri Lanka,"399,",Galle Rd,", Col 03",,"0112564371/ 5 , 0773223568",,ENGINEERING,CHECK,30 Net
103,Singer ( Srilanka ) PLC,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
104,W.M. International (Pvt) Ltd.,Sri Lanka,-,-,-,,,,ENGINEERING,CHECK,30 Net
